Цена,Тип квартиры,Станция метро,Минут до метро,Регион,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Ремонт,Ссылка
9600000.0,Вторичное,пенягино,6.0,Московская область,1.0,38.7,9.0,6.0,26.0,Евроремонт,https://www.cian.ru/sale/flat/291804604
9600000.0,Вторичное,павшино,3.0,Московская область,1.0,47.0,12.0,15.0,25.0,Дизайнерский,https://www.cian.ru/sale/flat/292934288
9550000.0,Вторичное,пенягино,18.0,Московская область,1.0,34.0,9.5,3.0,7.0,Евроремонт,https://www.cian.ru/sale/flat/293842329
9600000.0,Вторичное,пенягино,7.0,Московская область,1.0,37.0,8.0,3.0,17.0,Евроремонт,https://www.cian.ru/sale/flat/292949211
9700000.0,Вторичное,пятницкое шоссе,10.0,Московская область,1.0,45.0,12.0,6.0,17.0,Косметический,https://www.cian.ru/sale/flat/291878773
9700000.0,Вторичное,мякинино,16.0,Московская область,1.0,37.0,9.3,17.0,19.0,Евроремонт,https://www.cian.ru/sale/flat/292980131
9700000.0,Вторичное,пенягино,16.0,Московская область,1.0,35.0,6.0,8.0,16.0,Евроремонт,https://www.cian.ru/sale/flat/293552014
9700000.0,Вторичное,павшино,20.0,Московская область,1.0,41.2,20.0,17.0,25.0,Дизайнерский,https://www.cian.ru/sale/flat/292814726
9800000.0,Вторичное,мякинино,15.0,Московская область,1.0,40.2,13.0,21.0,23.0,Косметический,https://www.cian.ru/sale/flat/290649757
9800000.0,Вторичное,опалиха,6.0,Московская область,1.0,46.1,10.5,9.0,17.0,Евроремонт,https://www.cian.ru/sale/flat/293668243
12550000.0,Вторичное,мякинино,20.0,Московская область,2.0,60.7,13.0,2.0,7.0,Косметический,https://www.cian.ru/sale/flat/292988444
7500000.0,Вторичное,павшино,11.0,Московская область,2.0,42.0,6.0,5.0,5.0,Косметический,https://www.cian.ru/sale/flat/291496178
11690000.0,Вторичное,опалиха,17.0,Московская область,2.0,61.0,12.0,6.0,8.0,Без ремонта,https://www.cian.ru/sale/flat/290071467
12700000.0,Вторичное,аникеевка,16.0,Московская область,2.0,70.1,12.4,4.0,6.0,Косметический,https://www.cian.ru/sale/flat/278126100
12650000.0,Вторичное,пенягино,19.0,Московская область,2.0,46.1,14.6,4.0,15.0,Дизайнерский,https://www.cian.ru/sale/flat/291569201
18000000.0,Вторичное,пенягино,18.0,Московская область,2.0,68.0,17.0,8.0,16.0,Дизайнерский,https://www.cian.ru/sale/flat/291642522
12546450.0,Вторичное,пенягино,10.0,Московская область,2.0,73.5,13.3,6.0,22.0,Без ремонта,https://www.cian.ru/sale/flat/291393810
11500000.0,Вторичное,опалиха,6.0,Московская область,2.0,56.0,13.0,3.0,24.0,Дизайнерский,https://www.cian.ru/sale/flat/289790275
9500000.0,Вторичное,митино,17.0,Московская область,2.0,44.0,7.0,1.0,8.0,Евроремонт,https://www.cian.ru/sale/flat/290333540
10500000.0,Вторичное,митино,11.0,Московская область,2.0,50.3,6.0,22.0,25.0,Евроремонт,https://www.cian.ru/sale/flat/290863691
11190000.0,Вторичное,митино,14.0,Московская область,2.0,64.4,13.6,7.0,9.0,Евроремонт,https://www.cian.ru/sale/flat/287074135
11500000.0,Вторичное,пенягино,15.0,Московская область,2.0,40.0,6.5,8.0,16.0,Дизайнерский,https://www.cian.ru/sale/flat/288141934
12500000.0,Вторичное,опалиха,6.0,Московская область,2.0,60.7,11.7,7.0,17.0,Евроремонт,https://www.cian.ru/sale/flat/291655193
49500000.0,Вторичное,мякинино,14.0,Московская область,2.0,109.0,15.0,8.0,8.0,Дизайнерский,https://www.cian.ru/sale/flat/293609994
11343200.0,Вторичное,мякинино,14.0,Московская область,2.0,78.6,13.1,3.0,4.0,Дизайнерский,https://www.cian.ru/sale/flat/286617158
11343200.0,Вторичное,мякинино,14.0,Московская область,2.0,79.3,13.2,3.0,4.0,Дизайнерский,https://www.cian.ru/sale/flat/273963978
8000000.0,Вторичное,аникеевка,5.0,Московская область,2.0,35.0,16.0,3.0,3.0,Дизайнерский,https://www.cian.ru/sale/flat/291898965
8500000.0,Вторичное,павшино,14.0,Московская область,2.0,43.5,6.0,1.0,5.0,Евроремонт,https://www.cian.ru/sale/flat/292423517
8800000.0,Вторичное,павшино,5.0,Московская область,2.0,42.0,6.0,5.0,5.0,Косметический,https://www.cian.ru/sale/flat/290460676
9650000.0,Вторичное,опалиха,7.0,Московская область,2.0,52.0,9.0,8.0,25.0,Косметический,https://www.cian.ru/sale/flat/293122125
9800000.0,Вторичное,красногорская,9.0,Московская область,2.0,66.0,11.2,10.0,25.0,Евроремонт,https://www.cian.ru/sale/flat/293262663
