Станция метро,Минут до метро,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Тип квартиры_Вторичное,Тип квартиры_Новостройка,Регион_Москва,Регион_Московская область,Ремонт_Без ремонта,Ремонт_Дизайнерский,Ремонт_Евроремонт,Ремонт_Косметический,Цена
99,7.0,2.0,45.0,6.0,4.0,5.0,1,0,0,1,0,0,0,1,6950000.0
180,11.0,2.0,41.6,10.1,4.0,5.0,1,0,0,1,0,0,0,1,7350000.0
173,12.0,2.0,42.6,10.2,8.0,12.0,1,0,0,1,1,0,0,0,7500000.0
180,20.0,2.0,47.0,10.0,11.0,25.0,1,0,0,1,1,0,0,0,7500000.0
99,4.0,2.0,42.0,6.0,5.0,5.0,1,0,0,1,0,0,0,1,7700000.0
138,8.0,2.0,44.6,6.0,1.0,4.0,1,0,0,1,0,0,0,1,7700000.0
173,6.0,2.0,38.0,8.0,4.0,26.0,1,0,0,1,0,1,0,0,7800000.0
173,6.0,2.0,50.0,10.8,8.0,9.0,1,0,0,1,0,0,0,1,8000000.0
99,13.0,2.0,45.0,10.4,4.0,5.0,1,0,0,1,0,0,1,0,8000000.0
180,5.0,2.0,43.8,8.0,9.0,9.0,1,0,0,1,0,0,0,1,8300000.0
99,7.0,2.0,47.4,8.9,6.0,12.0,1,0,0,1,1,0,0,0,8500000.0
180,10.0,2.0,42.9,5.9,1.0,5.0,1,0,0,1,0,0,0,1,8600000.0
99,7.0,2.0,50.0,21.0,3.0,14.0,1,0,0,1,0,0,0,1,8600000.0
173,2.0,2.0,44.0,10.5,1.0,8.0,1,0,0,1,1,0,0,0,8550000.0
99,6.0,2.0,51.6,9.0,5.0,9.0,1,0,0,1,0,0,0,1,8700000.0
173,5.0,2.0,53.4,9.0,2.0,5.0,1,0,0,1,0,0,0,1,8750000.0
173,6.0,2.0,48.6,10.0,15.0,26.0,1,0,0,1,0,0,0,1,8950000.0
173,5.0,2.0,54.0,9.0,6.0,9.0,1,0,0,1,0,0,0,1,9000000.0
185,18.0,2.0,42.6,10.2,1.0,16.0,1,0,0,1,0,0,1,0,9070000.0
9,3.0,2.0,60.9,14.0,1.0,3.0,1,0,0,1,1,0,0,0,9074100.0
180,6.0,2.0,44.8,6.0,4.0,5.0,1,0,0,1,0,0,0,1,9000000.0
9,3.0,2.0,60.0,14.0,2.0,3.0,1,0,0,1,1,0,0,0,9103900.0
99,12.0,2.0,53.1,11.0,14.0,18.0,1,0,0,1,0,0,0,1,9150000.0
173,15.0,2.0,52.0,11.0,11.0,12.0,1,0,0,1,1,0,0,0,9200000.0
173,6.0,2.0,48.8,10.0,8.0,26.0,1,0,0,1,0,0,0,1,9200000.0
173,6.0,2.0,47.2,10.5,1.0,8.0,1,0,0,1,0,0,0,1,9200000.0
173,5.0,2.0,57.0,14.2,1.0,8.0,1,0,0,1,1,0,0,0,9250000.0
180,3.0,2.0,40.0,7.0,9.0,14.0,1,0,0,1,0,0,1,0,9300000.0
265,17.0,2.0,53.9,8.7,16.0,18.0,1,0,0,1,0,0,0,1,9450000.0
99,13.0,2.0,41.7,7.0,2.0,4.0,1,0,0,1,0,0,1,0,9500000.0
173,19.0,2.0,48.0,8.0,1.0,9.0,1,0,0,1,0,0,0,1,9500000.0
173,8.0,2.0,52.0,9.3,17.0,26.0,1,0,0,1,0,0,0,1,9500000.0
180,15.0,2.0,47.0,10.5,5.0,18.0,1,0,0,1,0,0,1,0,9500000.0
180,13.0,2.0,45.1,6.0,17.0,25.0,1,0,0,1,0,1,0,0,9500000.0
